BudgetCode,AvgAnnualCostCHF,TotalValueCHF,TotalVolumeM3,TotalWeightKG,CHF_per_Value,CHF_per_m3,CHF_per_kg
MEAN,553076.91,461269.28,108.83,28644.6,2.25,9495.7,45.66
MEDIAN,265457.64,305517.26,77.67,12924.38,0.91,3890.15,16.4
AM120,31501.02,560151.82,13.85,2846.16,0.06,2274.36,11.07
AO101,323829.71,39035.66,16.94,2717.49,8.3,19111.83,119.17
AO121,77219.01,74421.88,15.5,3475.16,1.04,4981.41,22.22
BF115,467597.84,305517.26,41.12,9396.91,1.53,11371.76,49.76
BF116,606698.15,670074.24,130.16,30346.73,0.91,4661.13,19.99
BF119,428680.59,359210.04,89.7,22108.55,1.19,4779.1,19.39
CD503,1000929.82,338791.13,94.79,16617.03,2.95,10559.84,60.24
CD511,16042.39,700822.39,123.22,26712.16,0.02,130.19,0.6
CD549,1029120.34,1415538.09,324.31,67974.09,0.73,3173.3,15.14
CD575,36660.75,473022.69,135.15,28915.12,0.08,271.26,1.27
CM101,950847.42,142435.04,39.7,6004.6,6.68,23952.83,158.35
HN142,304702.94,103792.89,10.72,2135.06,2.94,28410.98,142.71
IQ103,218167.88,46697.56,18.55,6215.08,4.67,11758.05,35.1
IQ119,1009.02,36791.56,16.98,4117.3,0.03,59.43,0.25
IQ146,210731.52,644274.35,177.42,47315.15,0.33,1187.79,4.45
KE110,374995.44,1380957.0,302.88,74349.46,0.27,1238.11,5.04
KG101,17704.32,18850.55,2.59,519.5,0.94,6823.15,34.08
KG142,1360.26,33890.03,7.33,975.27,0.04,185.51,1.39
MG101,546363.37,59396.67,20.55,3820.34,9.2,26581.76,143.01
MM110,82706.97,194745.38,28.18,6251.07,0.42,2934.44,13.23
MM111,13886.38,124839.3,14.2,2872.63,0.11,977.78,4.83
MZ110,205757.21,197958.7,33.12,8524.49,1.04,6212.63,24.14
NE101,1672501.05,936333.2,199.16,94075.85,1.79,8397.82,17.78
NE120,2146122.13,1992284.97,482.4,130873.43,1.08,4448.83,16.4
NE139,311206.74,543926.87,131.21,33797.66,0.57,2371.9,9.21
NE160,3896.5,135050.84,105.8,12369.62,0.03,36.83,0.32
NG119,351662.38,1089940.4,389.22,197179.37,0.32,903.52,1.78
SD210,157647.54,621133.92,154.07,37928.44,0.25,1023.21,4.16
SD219,144372.44,19938.81,2.77,748.61,7.24,52150.66,192.85
SD226,181762.04,194248.41,46.72,10860.4,0.94,3890.15,16.74
SS169,628851.22,1413812.21,331.15,68247.92,0.44,1898.98,9.21
SS170,975236.8,749666.75,210.07,44228.12,1.3,4642.4,22.05
TD101,2644706.46,521595.03,57.33,12924.38,5.07,46131.15,204.63
TD112,0.0,75928.79,1.69,368.55,0.0,0.0,0.0
TD160,2484396.71,279247.11,99.66,14549.75,8.9,24929.97,170.75
TZ111,265457.64,552537.13,168.75,39951.75,0.48,1573.1,6.64
TZ120,258076.6,645560.55,157.7,39006.74,0.4,1636.47,6.62
UA116,2739.7,12028.92,4.06,640.85,0.23,675.41,4.28
UG209,2100067.44,197583.45,77.67,16213.37,10.63,27038.99,129.53
YE101,1363733.06,149760.04,38.22,7892.64,9.11,35685.39,172.79
YE115,37204.61,860248.84,147.51,38361.73,0.04,252.21,0.97
