BudgetCode,AvgAnnualCostCHF,TotalValueCHF,TotalVolumeM3,TotalWeightKG,CHF_per_Value,CHF_per_m3,CHF_per_kg
AM120,31501.025,560151.819,13.850508,2846.157,0.06,2274.36,11.07
AO101,323829.71,39035.657999999996,16.94394,2717.49,8.3,19111.83,119.17
AO121,77219.01,74421.877,15.50144,3475.155,1.04,4981.41,22.22
BF115,467597.84,305517.258,41.119201,9396.907,1.53,11371.76,49.76
BF116,606698.15,670074.243,130.161208,30346.729,0.91,4661.13,19.99
BF119,428680.59,359210.043,89.698995,22108.554,1.19,4779.1,19.39
CD503,1000929.825,338791.13,94.786413,16617.025,2.95,10559.84,60.24
CD511,16042.39,700822.394,123.22487,26712.161,0.02,130.19,0.6
CD549,1029120.335,1415538.092,324.305997,67974.089,0.73,3173.3,15.14
CD575,36660.755,473022.69299999997,135.149168,28915.115999999998,0.08,271.26,1.27
CM101,950847.415,142435.036,39.69667,6004.6,6.68,23952.83,158.35
HN142,304702.945,103792.886,10.724829,2135.061,2.94,28410.98,142.71
IQ103,218167.875,46697.558,18.554773,6215.076,4.67,11758.05,35.1
IQ119,1009.02,36791.557,16.977903,4117.302,0.03,59.43,0.25
IQ146,210731.51499999998,644274.354,177.415224,47315.15,0.33,1187.79,4.45
KE110,374995.435,1380956.999,302.878071,74349.459,0.27,1238.11,5.04
KG101,17704.325,18850.546,2.594743,519.496,0.94,6823.15,34.08
KG142,1360.26,33890.034,7.332725,975.27,0.04,185.51,1.39
MG101,546363.37,59396.668,20.554072,3820.337,9.2,26581.76,143.01
MM110,82706.97,194745.384,28.184892,6251.074,0.42,2934.44,13.23
MM111,13886.375,124839.298,14.201983,2872.633,0.11,977.78,4.83
MZ110,205757.21,197958.7,33.11916,8524.487000000001,1.04,6212.63,24.14
NE101,1672501.05,936333.2,199.159027,94075.851,1.79,8397.82,17.78
NE120,2146122.13,1992284.969,482.40182799999997,130873.429,1.08,4448.83,16.4
NE139,311206.735,543926.867,131.205514,33797.661,0.57,2371.9,9.21
NE160,3896.495,135050.84,105.798932,12369.624,0.03,36.83,0.32
NG119,351662.38,1089940.404,389.215785,197179.367,0.32,903.52,1.78
SD210,157647.54,621133.924,154.071108,37928.441,0.25,1023.21,4.16
SD219,144372.44,19938.81,2.768372,748.613,7.24,52150.66,192.85
SD226,181762.04,194248.407,46.723648000000004,10860.397,0.94,3890.15,16.74
SS169,628851.225,1413812.212,331.152643,68247.922,0.44,1898.98,9.21
SS170,975236.795,749666.75,210.071736,44228.118,1.3,4642.4,22.05
TD101,2644706.465,521595.02999999997,57.330169999999995,12924.375,5.07,46131.15,204.63
TD112,0.0,75928.79000000001,1.693054,368.55,0.0,0.0,0.0
TD160,2484396.71,279247.10599999997,99.655011,14549.749,8.9,24929.97,170.75
TZ111,265457.64,552537.13,168.747936,39951.755,0.48,1573.1,6.64
TZ120,258076.595,645560.549,157.703458,39006.74,0.4,1636.47,6.62
UA116,2739.695,12028.92,4.056356,640.854,0.23,675.41,4.28
UG209,2100067.44,197583.453,77.66811,16213.371000000001,10.63,27038.99,129.53
YE101,1363733.06,149760.039,38.215441,7892.639,9.11,35685.39,172.79
YE115,37204.61,860248.837,147.513414,38361.728,0.04,252.21,0.97
MEAN (filtered),553076.9119512195,461269.27960975614,108.83239824390243,28644.59785365854,2.25,9495.7,45.66
MEDIAN (filtered),265457.64,305517.258,77.66811,12924.375,0.91,3890.15,16.4
